plane,gene,assection_data_set_id
coronal,B230362M20Rik,77340460
coronal,B230373P09Rik,73520818
coronal,B2m,71924291
coronal,B3galt2,71064081
coronal,B3galt5,77280578
coronal,B3gat1,73818755
coronal,B3gat2,74658033
coronal,B3gnt1,77332102
coronal,B3gnt2,75988600
coronal,B3gnt5,73992711
coronal,B4galnt3,73636090
coronal,B4galt1,71063735
coronal,B4galt3,357099
coronal,B4galt5,73635976
coronal,B4galt6,2055
coronal,B630019K06Rik,74881160
coronal,B830028H17Rik*,75042245
coronal,Baalc,73520964
coronal,Bace1,73520965
coronal,Bace2,143
coronal,Bad,74881790
coronal,Bag1,75043147
coronal,Bag2,70634296
coronal,Bai3,71247597
coronal,Baiap2,73520966
coronal,Baiap3,75081206
coronal,Bap1,74881827
coronal,Barx2,2057
coronal,Baz1a,73635977
coronal,BC005537,321201
coronal,BC005561,74988761
coronal,BC005624,67936203
coronal,BC005764,73925724
coronal,BC018242,71836832
coronal,BC031181,73718052
coronal,BC031353,77371767
coronal,BC032203,77867708
coronal,BC034076,71836848
coronal,BC053994,77340462
coronal,BC057022,72077480
coronal,BC057079,74881879
coronal,Bcan,154
coronal,Bcap29,104826
coronal,Bcar3,77371769
coronal,Bcas1,77371831
coronal,Bcat1,71016665
coronal,Bche,74881889
coronal,Bckdhb,71836890
coronal,Bcl11a,71836837
coronal,Bcl2l11,74658243
coronal,Bcl2l12,71064289
coronal,Bcl6,75651139
coronal,Bcl7b,1601
coronal,Bdh2,70806049
coronal,Bdnf,79587720
coronal,Bend5,74583139
coronal,Bend6,77280313
coronal,Best2,1930
coronal,Bhlhb9,74274689
coronal,Bhlhe22,1162
coronal,Bhlhe40,356488
coronal,Bhlhe41,73521802
coronal,Bid,71836838
coronal,Blcap,71016617
coronal,Blnk,74819692
coronal,Bmp3,72472749
coronal,Bmp4,79556702
coronal,Bmp5,73817428
coronal,Bmp7,2065
coronal,Bnc2,73636164
coronal,Bnip3,75077193
coronal,Boc,74819594
coronal,Bok,71064032
coronal,Bpgm,77414641
coronal,Brd8,1673
coronal,Brp44l,2067
coronal,Brs3,70560328
coronal,Brwd1,1109
coronal,Bsdc1,74988722
coronal,Bsg,166
coronal,Bsn,73992923
coronal,Btbd11,73769325
coronal,Btbd3,71016618
coronal,Btd,2069
coronal,Btg1,73718576
coronal,Btg2,72283802
coronal,Btg3,168
coronal,Btg3,72008120
coronal,Btrc,74047905
coronal,Bves,74511935
coronal,Bzw1,324215
coronal,C030034I22Rik,72472751
coronal,C030046I01Rik,74881890
coronal,C130018E23Rik*,75144623
coronal,C130021I20Rik,74511997
coronal,C130060K24Rik,1164
coronal,C130096N06Rik,73635978
coronal,C1qa,77371775
coronal,C1qc,77340474
coronal,C1ql2,71587929
coronal,C1qtnf3,75041550
coronal,C1qtnf5,293664
coronal,C1ra,70813896
coronal,C1ra,77874604
coronal,C230009H10Rik,72472761
coronal,C230030N03Rik,73992924
coronal,C230071H18Rik,72283803
coronal,C230081A13Rik,73931624
coronal,C2cd2,1986
coronal,C2cd2l,73592532
coronal,C330005M16Rik,74272930
coronal,C4b,74047758
coronal,C530008M17Rik,75080646
coronal,C85492,74658171
coronal,Cab39l,77371789
coronal,Cables2,72339555
coronal,Cables2,74641112
coronal,Cabp7,73930835
coronal,Cachd1,72119579
coronal,Cacna1e,74988669
coronal,Cacna1g,71587822
coronal,Cacna1h,72119638
coronal,Cacna1i,74512007
coronal,Cacna2d1,72119649
coronal,Cacna2d1,75042246
coronal,Cacna2d2,72119650
coronal,Cacna2d3,79591395
coronal,Cacnb2,72119651
coronal,Cacnb3,70560340
coronal,Cacnb4,1679
coronal,Cacng3,73615560
coronal,Cacng4,72119652
coronal,Cacng5,70560341
coronal,Cacng7,74750054
coronal,Cacng8,72108823
coronal,Cacybp,75144703
coronal,Cadm2,73635999
coronal,Cadps,72119581
coronal,Cadps2,73817429
coronal,Cage1,72472771
coronal,Calb1,71717640
coronal,Calb1,79556672
coronal,Calb2,79556662
coronal,Calca,79587715
coronal,Calcb,72338699
coronal,Calcr,75080999
coronal,Calcrl,74988670
coronal,Calm1,179
coronal,Calm2,182
coronal,Calm3,184
coronal,Calml3,79490064
coronal,Camk1d,73992927
coronal,Camk1g,70743868
coronal,Camk2a,79490122
coronal,Camk2d,71016676
coronal,Camk2g,189
coronal,Camk4,75038464
coronal,Camkk1,73930840
coronal,Camkk2,70743899
coronal,Camkv,70743867
coronal,Caml,79568047
coronal,Cap1,323396
coronal,Cap2,70436737
coronal,Capn2,73817430
coronal,Capns1,75934915
coronal,Capsl,75079776
coronal,Capzb,75080633
coronal,Car10,71587832
coronal,Car12,72081406
coronal,Car2,72103831
coronal,Car4,70928238
coronal,Car7,74511736
coronal,Car8,191
coronal,Car9,74988271
coronal,Carhsp1,73512493
coronal,Cartpt,72077479
coronal,Casc1,75038484
coronal,Casp9,1681
coronal,Casq1,74819254
coronal,Casq2,76115726
coronal,Casr,72338697
coronal,Cast,70928199
coronal,Cbara1,74658238
coronal,Cbfa2t3,75038485
coronal,Cbfb,1168
coronal,Cblb,74988451
coronal,Cbln2,70231306
coronal,Cbln4,72283804
coronal,Cbr3,2077
coronal,Cbs,1335
coronal,Cbx5,198
coronal,Ccbp2,74724637
coronal,Ccdc109a,72472776
coronal,Ccdc109b,72129249
coronal,Ccdc136,324214
coronal,Ccdc137,1978
coronal,Ccdc3,75651160
coronal,Ccdc37,74581372
coronal,Ccdc65,74724776
coronal,Ccdc85a,75081006
coronal,Ccdc88c,74363346
coronal,Ccdc91,74818623
coronal,Ccdc92,74658111
coronal,Cck,200
coronal,Cck,77869074
coronal,Cckar,203
coronal,Cckbr,70560342
coronal,Ccnd2,205
coronal,Ccng1,324210
coronal,Ccni,74988529
coronal,Ccnl2,211
coronal,Ccr1,73718058
coronal,Ccr10,74724659
coronal,Cct2,356082
coronal,Cct8,2079
coronal,Cd109,73931384
coronal,Cd164,75749771
coronal,Cd1d1,219
coronal,Cd200,71358579
coronal,Cd24a,79591541
coronal,Cd33,75043153
coronal,Cd34,74047898
coronal,Cd4,74819249
coronal,Cd44,224
coronal,Cd44,79556644
coronal,Cd47,357100
coronal,Cd59a,73992928
coronal,Cd6,112205643
coronal,Cd63,73992715
coronal,Cd81,226
coronal,Cd8b1,73732149
coronal,Cd9,73520971
coronal,Cd97,112646460
coronal,Cda,74425539
coronal,Cdc25b,74274686
coronal,Cdc27,293466
coronal,Cdc42ep1,70814345
coronal,Cdc42ep3,75146001
coronal,Cdca2,73520972
coronal,Cdca7,26
coronal,Cdh10,73592529
coronal,Cdh11,232
coronal,Cdh11,74881285
coronal,Cdh13,234
coronal,Cdh13,77869863
coronal,Cdh13,79490066
coronal,Cdh15,77869780
coronal,Cdh18,74658022
coronal,Cdh2,236
coronal,Cdh2,79556666
coronal,Cdh23,72283805
coronal,Cdh24,70231307
coronal,Cdh3,1337
coronal,Cdh4,2083
coronal,Cdh4,79591629
coronal,Cdh6,238
coronal,Cdh7,73520973
coronal,Cdh8,79568026
coronal,Cdh9,72472764
coronal,Cdhr1,72104186
coronal,Cdhr3,74272042
coronal,Cdk14,71670684
coronal,Cdk5,244
coronal,Cdk5r1,247
coronal,Cdk8,75147769
coronal,Cdkl5,75042239
coronal,Cdkn1a,2085
coronal,Cdkn1a,80343383
coronal,Cdkn1b,112204566
coronal,Cdkn2b,1476
coronal,Cdkn2c,1683
coronal,Cdkn2d,1603
coronal,Cdo1,74583197
coronal,Cdr2,73992716
coronal,Cds1,72103808
coronal,Cds2,250
coronal,Cdyl2,74641321
coronal,Ceacam14,75080228
coronal,Cebpa,80343361
coronal,Cebpd,76115722
coronal,Celf3,74641324
coronal,Celf4,73592527
coronal,Celf6,71358616
coronal,Celsr3,74724639
coronal,Cenpf,1631
coronal,Cep72,74988742
coronal,Cep78,322963
coronal,Cer1,2091
coronal,Cerk,72472765
coronal,Cgnl1,72008123
coronal,Chat,252
coronal,Chchd2,74272036
coronal,Chchd3,67870084
coronal,Chd2,255
coronal,Chd5,72283806
coronal,Chd6,77340492
coronal,Chd7,71836884
coronal,Chga,2093
coronal,Chgb,70743886
coronal,Chl1,74272476
coronal,Chml,74047442
coronal,Chn1,73718053
coronal,Chn2,74881162
coronal,Chn2,77280428
coronal,Chrd,257
coronal,Chrm1,73907497
coronal,Chrm2,70560343
coronal,Chrm3,2095
coronal,Chrm3,79912556
coronal,Chrm4,261
coronal,Chrm4,79591641
coronal,Chrm5,75826557
coronal,Chrna1,75551465
coronal,Chrna2,75551460
coronal,Chrna3,72119655
coronal,Chrna4,1173
